,graphic
0, UHD 620 
1, GTX1650 
2, UHD 620 
3, GTX1650 
4, UHD 620 
5, UHD 620 
6, UHD 620 
7, GTX1660 Ti 
8, UHD 620 
9, UHD 620 
10, 지포스 MX150 
11, GTX1660 Ti 
12, UHD 620 
13, UHD 620 
14, HD 520 
15, GTX1660 Ti 
16, GTX1650 
17, HD 520 
18, GTX1050 
19, GTX1660 Ti 
20, 라데온 Pro 560X 
21, GTX1650 
22, 라데온 Pro 560X 
23, UHD 620 
24, 지포스 MX150 
25, UHD 620 
26, UHD 620 
27, GTX1650 
28, GTX1660 Ti 
29, GTX1650 
30, UHD 620 
31, 지포스 MX150 
32, 라데온 Pro 555X 
33, 라데온 Vega 8 
34, GTX1660 Ti 
35, 라데온 Vega 8 
36, Iris Plus 655 
37, GTX1650 
38, GTX1050 
39, RTX2060 
40, 지포스 MX150 
41, RTX2080(MAX-Q) 
42, 지포스 MX150 
43, 지포스 MX250 
44, UHD 620 
45, UHD 620 
46, GTX1660 Ti 
47, GTX1650 
48, 라데온 Vega 8 
49, UHD 620 
50,지포스 MX250 
51, 지포스 MX150 
52,
53, UHD 620 
54,  GTX1650 
55, 지포스 MX250 
56, HD 620 
57, 지포스 MX230 
58, GTX1060 
59, UHD 620 
60, GTX1060 
61, 지포스 MX150 
62, UHD 620 
63, UHD 620 
64, 라데온 Pro 555X 
65, 지포스 MX250 
66, GTX1660 Ti 
67, 라데온 Vega 8 
68, GTX1050 
69, 지포스 MX150 
70, GTX1660 Ti 
71, 라데온 Vega 8 
72, 지포스 MX250 
73, Iris Plus 645 
74, 지포스 MX150 
75, UHD 620 
76, UHD 620 
77, GTX1650 
78, GTX1050 
79, GTX1660 Ti 
80, 라데온 Vega 8 
81, GTX1660 Ti 
82,
83, UHD 620 
84, UHD 620 
85, UHD 620 
86, RTX2060 
87, GTX1060 
88, RTX2070 
89, UHD 620 
90, UHD 620 
91, GTX1660 Ti 
92, UHD 620 
93, UHD 620 
94, 지포스 MX250 
95, 라데온 Vega 6 
96, UHD 620 
97, GTX1660 Ti 
98, RTX2070 
99, UHD 610 
100, 지포스 MX250 
101, RTX2060 
102, UHD 620 
103, GTX1060 
104, GTX1660 Ti 
105, GTX1660 Ti 
106, UHD 620 
107, GTX1650 
108, UHD 610 
109, GTX1650 
110, Iris Plus 655 
111, GTX1660 Ti 
112, HD 610 
113, GTX1650 
114, GTX1650 
115, UHD 630 
116, UHD 600 
117, UHD 620 
118, UHD 620 
119, UHD 620 
120, GTX1650 
121, UHD 620 
122, RTX2060 
123, HD 620 
124, GTX1060 
125, GTX1050 
126, RTX2060 
127, HD 610 
128, RTX2070(MAX-Q) 
129, GTX1050 
130, GTX1650 
131, UHD 620 
132, UHD 620 
133, UHD 620 
134, RTX2070 
135, 라데온 Vega 8 
136, GTX1650(MAX-Q) 
137,
138, UHD 620 
139, RTX2060 
140, 라데온 540 
141, UHD 620 
142, UHD Graphics 
143, GTX1050 
144, GTX1650 
145, RTX2060 
146, GTX1660 Ti 
147, GTX1050 
148, RTX2070 
149, GTX1050 Ti 
150, RTX2070(MAX-Q) 
151, GTX1650 
152, GTX1660 Ti 
153, UHD 620 
154,  GTX1660 Ti 
155, 지포스 MX250  
156, 지포스 MX250 
157, GTX1060 
158, GTX1660 Ti 
159, 지포스 MX150 
160, RTX2060 
161, RTX2070 
162, GTX1650 
163, GTX1050 
164, GTX1650 
165, 지포스 MX230 
166, GTX1660 Ti 
167, 지포스 MX230 
168, RTX2070 
169, 지포스 MX150 
170, RTX2070 
171, GTX1650 
172, RTX2060(MAX-Q) 
173, UHD Graphics 
174, RTX2060 
175, Iris Plus 645 
176, UHD Graphics 
177, UHD 620 
178, UHD 620 
179, GTX1660 Ti 
180, UHD 620 
181, UHD 620 
182, HD 615 
183, UHD 620 
184, 지포스 MX250 
185, GTX1650 
186, GTX1650 
187, UHD Graphics 
188, RTX2060 
189, GTX1050 
190, RTX2070 
191,
192, UHD 620 
193, UHD 620 
194, GTX1650 
195, UHD 620 
196, 지포스 MX150 
197, GTX1660 Ti 
198,
199, GTX1050 Ti 
200, GTX1660 Ti 
201, 지포스 MX250 
202, RTX2060 
203, GTX1660 Ti 
204, UHD 620 
205, GTX1660 Ti 
206, HD 620 
207, RTX2060 
208, RTX2060 
209, RTX2060 
210, GTX1050 
211, RTX2060 
212, GTX1050 Ti 
213, 지포스 MX230 
214, 지포스 MX250 
215, RTX2070(MAX-Q) 
216, UHD 620 
217, UHD 620 
218, GTX1650 
219, 지포스 MX230 
220, RTX2060 
221, RTX2070(MAX-Q) 
222,GTX1660 Ti 
223, UHD 620 
224, GTX1050 
225, 지포스 MX230 
226, RTX2060 
227, RTX2070(MAX-Q) 
228, 지포스 MX150 
229, UHD 620 
230, UHD 620 
231, RTX2080 
232, HD 610 
233,  GTX1650 
234, UHD 620 
235,
236, RTX2070(MAX-Q) 
237,
238, GTX1660 Ti(MAX-Q) 
239, 지포스 MX250 
240,RTX2070 
241, UHD 610 
242, GTX1660 Ti 
243, UHD 620 
244, RTX2070(MAX-Q) 
245, UHD 620 
246,  지포스 MX150 
247, RTX2060 
248, UHD 620 
249, 라데온 Vega 3 
250, 지포스 MX250 
251, RTX2060 
252, GTX1650 
253, UHD 620 
254, GTX1060 
255, UHD 620 
256, GTX1050 
257, RTX2080 
258, RTX2060 
259, GTX1060(MAX-Q) 
260, GTX1050 
261, GTX1050 
262, RTX2060 
263, GTX1060 
264, RTX2060 
265,  RTX2070 
266, UHD 620 
267, RTX2060 
268, GTX1650 
269, GTX1660 Ti 
